model,dataset,n_judged,prevalence,n_pos,n_neg,n_minority,valid,raw_ece,raw_mce,raw_brier,raw_ece_full,temp_T,temp_ece,platt_ece,iso_ece,model_group
minilm-l6,arguana,1316,1.0,1316,0,0,False,0.5576466788418458,0.9743885068290842,0.42721681556025853,0.5461074619558394,999.9999781828193,0.5001348582616238,,0.0,original
minilm-l6,dbpedia-entity,9182,0.34698322805489,3186,5996,3186,True,0.2966357434575747,0.6061985100138758,0.29350176210084433,0.2947732961013585,5.831675060549609,0.21905021831773341,0.02744978725743604,0.022726414736582993,original
minilm-l6,fiqa,756,1.0,756,0,0,False,0.3024161969537164,0.9821302741122946,0.222178388236609,0.3161440007669969,4.357042319503732,0.3996341031316524,,0.0,original
minilm-l6,nfcorpus,1941,1.0,1941,0,0,False,0.7122920525277237,0.9917628791266963,0.6537199165200376,0.7096240685736664,999.999978535216,0.5007507894916425,,0.0,original
minilm-l6,quora,1278,1.0,1278,0,0,False,0.10680667274428875,0.9737998690741513,0.05930170083272378,0.09943439696860717,1.1282397251115164,0.11387882094581153,,0.0,original
minilm-l6,scidocs,1774,0.9487034949267192,1683,91,91,False,0.533666475614898,0.9008445980069254,0.4621959836396735,0.5272596417353479,999.9999775739013,0.44847166657364795,0.017611447297667053,0.01075843297153124,original
minilm-l6,scifact,298,1.0,298,0,0,False,0.2564101893963553,0.9828039207180904,0.189012625157714,0.2857914818273026,5.565335515741954,0.3978736640867471,,0.0,original
minilm-l6,trec-covid,3475,0.6241726618705036,2169,1306,1306,True,0.23493218089575754,0.443084216630956,0.25487861788327937,0.23225853336707403,4.401586634724451,0.04525901199535517,0.04422956289127876,0.02715049949360466,original
minilm-l6,trec-dl-2019,4612,0.34952298352124894,1612,3000,1612,True,0.3120872208490236,0.52672599281258,0.316898345121069,0.30912300283504424,6.564648526479132,0.18046514436201755,0.04649149415804969,0.03723009772061832,original
minilm-l6,trec-dl-2020,5686,0.16865986633837496,959,4727,959,True,0.4014733294033693,0.7521744296532529,0.3655870290059407,0.3927235082162094,9.59556824350584,0.34932263536263813,0.016971985445501776,0.015214533105044921,original
minilm-l6,webis-touche2020,635,0.7795275590551181,495,140,140,True,0.22882105286490745,0.5787931094943899,0.22678487248511994,0.2233927796392449,4.826696603313794,0.2145693379881822,0.10259700927648542,0.049976586252945,original
minilm-l12,arguana,1316,1.0,1316,0,0,False,0.27826902168420625,0.9809482603085087,0.19154000269993718,0.2690160978906617,2.428587482050002,0.34861154891032553,,0.0,original
minilm-l12,dbpedia-entity,9182,0.34698322805489,3186,5996,3186,True,0.3134481187023208,0.6465570083361926,0.3085314214970259,0.31355205388303903,6.588228239469915,0.22146622370595517,0.028152080931513543,0.01877318575826617,original
minilm-l12,fiqa,756,1.0,756,0,0,False,0.23316481276212683,0.9862221865887435,0.16556829154180813,0.24715306993496508,2.805285085228223,0.31625726883673955,,0.0,original
minilm-l12,nfcorpus,1941,1.0,1941,0,0,False,0.6009723332814201,0.9900138494201824,0.5380185461908782,0.5929743733126773,999.9999782571715,0.50042908671972,,0.0,original
minilm-l12,quora,1278,1.0,1278,0,0,False,0.08182175909434863,0.9801122387485022,0.045271906763950376,0.07613733457629285,1.109155519259166,0.08730426479954924,,0.0,original
minilm-l12,scidocs,1774,0.9487034949267192,1683,91,91,False,0.48779389452414273,0.8576748197561973,0.42048646754864527,0.48583333324972017,999.9999745854924,0.44834200185686035,0.017068132361335614,0.015405375305704494,original
minilm-l12,scifact,298,1.0,298,0,0,False,0.21484726779008045,0.9854492074709417,0.1640586267145309,0.24094123110731921,4.297429396174462,0.3442233544386146,,0.0,original
minilm-l12,trec-covid,3475,0.6241726618705036,2169,1306,1306,True,0.25114574914835497,0.38414822039266183,0.26434138843567956,0.24802642507603967,4.837425396235783,0.05831199041168775,0.04388660485255045,0.0423315605350661,original
minilm-l12,trec-dl-2019,4612,0.34952298352124894,1612,3000,1612,True,0.3293074208828384,0.5393439054942448,0.33317190794359114,0.3246570610143763,7.13679021884536,0.19398831687385754,0.05858952497509709,0.03490482471581729,original
minilm-l12,trec-dl-2020,5686,0.16865986633837496,959,4727,959,True,0.42169535721964246,0.7869737068409328,0.38607145064563186,0.41352332066494346,11.67184566453145,0.35114773863447746,0.021442884984729425,0.012706426268028058,original
minilm-l12,webis-touche2020,635,0.7795275590551181,495,140,140,True,0.16631205778188415,0.6909625328398816,0.17907552475382663,0.15084625397668544,3.973611695559365,0.15985816729900457,0.11010897025060301,0.03773982016383348,original
tinybert-l2,arguana,1316,1.0,1316,0,0,False,0.6479880767820141,0.9889869908348269,0.5723234658004797,0.62954703508258,999.9999784856842,0.5004936406144869,,0.0,original
tinybert-l2,dbpedia-entity,9182,0.34698322805489,3186,5996,3186,True,0.28079772568410866,0.5074338950640687,0.29462692947718766,0.2817903754896591,6.746783919426322,0.19598432119441744,0.02982874548677535,0.02449947279523037,original
tinybert-l2,fiqa,756,1.0,756,0,0,False,0.4047880310796892,0.9882867930808401,0.3436061191155611,0.4114101274932135,15.871785589022576,0.4845013198454524,,0.0,original
tinybert-l2,nfcorpus,1941,1.0,1941,0,0,False,0.7669283199016916,0.9941992508069182,0.727414533023031,0.7643823188955555,999.9999785199127,0.5010547904996159,,0.0,original
tinybert-l2,quora,1278,1.0,1278,0,0,False,0.09158363463926016,0.98643347284942,0.07341847222327022,0.08485843861118571,2.1053498471458187,0.11900427268875767,,0.0,original
tinybert-l2,scidocs,1774,0.9487034949267192,1683,91,91,False,0.5402150429565908,0.905920433330685,0.49549856641653967,0.5460767646089487,999.9999776644615,0.44852986322747324,0.0038925095416932707,0.008195021466188477,original
tinybert-l2,scifact,298,1.0,298,0,0,False,0.32898194245170453,0.985740045439598,0.28167635281305947,0.33187228366622606,6.265829589387727,0.42350859137124075,,0.0,original
tinybert-l2,trec-covid,3475,0.6241726618705036,2169,1306,1306,True,0.276026729660436,0.3389803013833991,0.2863520364785832,0.2682156893148646,6.475647754267066,0.05535985591756225,0.0567159675459554,0.032525138946922244,original
tinybert-l2,trec-dl-2019,4612,0.34952298352124894,1612,3000,1612,True,0.3247638543648024,0.5424774312547749,0.3384898064575726,0.31530438627620966,8.451099133079314,0.17287132852657816,0.045696259564184626,0.044632726294183564,original
tinybert-l2,trec-dl-2020,5686,0.16865986633837496,959,4727,959,True,0.3948999434975734,0.7693478061248538,0.38361261402960006,0.3833313648808568,10.691411076349695,0.3430206020384948,0.028575318014952587,0.01788182302921051,original
tinybert-l2,webis-touche2020,635,0.7795275590551181,495,140,140,True,0.33886988136428664,0.7104763706651458,0.3233029282706642,0.33816141166765507,11.081017457656968,0.2443748758754618,0.060282551639199544,0.03187351401377405,original
