model,dataset,prevalence,n_judged,raw_ece,temp_T,temp_ece,iso_ece,temp_delta,iso_delta
minilm-l6,dbpedia-entity,0.347,9182,0.2966,5.832,0.2191,0.0241,-0.0775,-0.2725
minilm-l6,trec-covid,0.624,3475,0.2349,4.402,0.0453,0.0272,-0.1896,-0.2077
minilm-l6,webis-touche2020,0.78,635,0.2288,4.827,0.2146,0.05,-0.0142,-0.1788
minilm-l6,scidocs,0.949,1774,0.5337,20.0,0.4645,0.0108,-0.0692,-0.5229
minilm-l12,dbpedia-entity,0.347,9182,0.3134,6.588,0.2215,0.0186,-0.0919,-0.2948
minilm-l12,trec-covid,0.624,3475,0.2511,4.837,0.0583,0.0423,-0.1928,-0.2088
minilm-l12,webis-touche2020,0.78,635,0.1663,3.974,0.1599,0.0377,-0.0064,-0.1286
minilm-l12,scidocs,0.949,1774,0.4878,20.0,0.4581,0.0154,-0.0297,-0.4724
tinybert-l2,dbpedia-entity,0.347,9182,0.2808,6.747,0.196,0.0251,-0.0848,-0.2557
tinybert-l2,trec-covid,0.624,3475,0.276,6.476,0.0554,0.0333,-0.2206,-0.2427
tinybert-l2,webis-touche2020,0.78,635,0.3389,11.081,0.2444,0.0319,-0.0945,-0.307
tinybert-l2,scidocs,0.949,1774,0.5402,20.0,0.4673,0.0087,-0.0729,-0.5315
bge-reranker,dbpedia-entity,0.347,9182,0.1593,2.962,0.1069,0.0221,-0.0524,-0.1372
bge-reranker,trec-covid,0.624,3475,0.2276,4.386,0.0373,0.0283,-0.1903,-0.1993
bge-reranker,webis-touche2020,0.78,635,0.2922,6.78,0.2358,0.0186,-0.0564,-0.2736
bge-reranker,scidocs,0.949,1774,0.7623,20.0,0.4882,0.0117,-0.2741,-0.7506
electra-base,dbpedia-entity,0.347,9182,0.3299,6.84,0.1638,0.0212,-0.1661,-0.3087
electra-base,trec-covid,0.624,3475,0.285,4.77,0.0845,0.0253,-0.2005,-0.2597
electra-base,webis-touche2020,0.78,635,0.283,6.095,0.2492,0.0517,-0.0338,-0.2313
electra-base,scidocs,0.949,1774,0.512,20.0,0.466,0.0083,-0.046,-0.5037
