model,dataset,ndcg10_raw,ndcg10_cal,ndcg10_delta,map_raw,recall100_raw,abst_prec_raw,abst_prec_cal,accept_rate_raw,accept_rate_cal,abstain_rate_raw,abstain_rate_cal
minilm-l6,trec-covid,0.7152213925718794,0.7152213925718794,0.0,0.6997084533422779,0.09687098864289931,0.8,0.8,1.0,1.0,0.0,0.0
minilm-l6,nfcorpus,0.3400535767409127,0.3400535767409127,0.0,0.42966673801983823,0.23612018488155653,0.6512820512820513,0.6512820512820513,0.6037151702786377,0.6037151702786377,0.39628482972136225,0.39628482972136225
minilm-l6,fiqa,0.33349803348430096,0.33349803348430096,0.0,0.37119097040498505,0.49462447703188445,0.352622061482821,0.352622061482821,0.8533950617283951,0.8533950617283951,0.14660493827160495,0.14660493827160495
minilm-l6,scifact,0.6757944337557342,0.6757944337557342,0.0,0.6421353169040367,0.8758888888888888,0.6363636363636364,0.6363636363636364,0.8433333333333334,0.8433333333333334,0.15666666666666668,0.15666666666666668
minilm-l6,arguana,0.31042729839263344,0.31042729839263344,0.0,0.21455380764151388,0.9359886201991465,0.0,0.0,1.0,1.0,0.0,0.0
minilm-l6,scidocs,0.16367724514524593,0.16367724514524593,0.0,0.22383612284165963,0.3417833333333334,0.2205005959475566,0.2205005959475566,0.839,0.839,0.161,0.161
minilm-l6,webis-touche2020,0.26509944705107646,0.26509944705107646,0.0,0.29352111509476275,0.5787112228565428,0.32653061224489793,0.32653061224489793,1.0,1.0,0.0,0.0
minilm-l6,quora,0.8135565185211101,0.8135565185211101,0.0,0.7875750366267678,0.949352380952381,0.7255909558067831,0.7255909558067831,0.973,0.973,0.027,0.027
minilm-l6,dbpedia-entity,0.4170527931610641,0.41703042946852037,-2.2363692543714286e-05,0.543247159888597,0.42142210698101645,0.661498708010336,0.661498708010336,0.9675,0.9675,0.0325,0.0325
minilm-l12,trec-covid,0.7250693258818957,0.7250693258818957,0.0,0.7100058011453007,0.09687098864289931,0.86,0.86,1.0,1.0,0.0,0.0
minilm-l12,nfcorpus,0.30578128869938254,0.30578128869938254,0.0,0.3697792540381301,0.23612018488155653,0.462406015037594,0.462406015037594,0.8235294117647058,0.8235294117647058,0.17647058823529413,0.17647058823529413
minilm-l12,fiqa,0.3357121364699439,0.3357121364699439,0.0,0.3744925638392468,0.49462447703188445,0.3390119250425894,0.3390119250425894,0.9058641975308642,0.9058641975308642,0.0941358024691358,0.0941358024691358
minilm-l12,scifact,0.6756226360915945,0.6756226360915945,0.0,0.6429820426979546,0.8758888888888888,0.6106870229007634,0.6106870229007634,0.8733333333333333,0.8733333333333333,0.12666666666666668,0.12666666666666668
minilm-l12,arguana,0.25052756142115684,0.25052756142115684,0.0,0.18104668702759807,0.9359886201991465,0.0035612535612535613,0.0035612535612535613,0.9985775248933144,0.9985775248933144,0.001422475106685633,0.001422475106685633
minilm-l12,scidocs,0.165118443358153,0.165118443358153,0.0,0.22557324161006892,0.3417833333333334,0.2151029748283753,0.2151029748283753,0.874,0.874,0.126,0.126
minilm-l12,webis-touche2020,0.26758563361274823,0.26758563361274823,0.0,0.29668564526126595,0.5787112228565428,0.2857142857142857,0.2857142857142857,1.0,1.0,0.0,0.0
minilm-l12,quora,0.8186734665667126,0.8186734665667126,0.0,0.7950443249141823,0.949352380952381,0.7411167512690355,0.7411167512690355,0.985,0.985,0.015,0.015
minilm-l12,dbpedia-entity,0.4160554955349184,0.4160554955349184,0.0,0.5441148078766506,0.42142210698101645,0.6564885496183206,0.6564885496183206,0.9825,0.9825,0.0175,0.0175
tinybert-l2,trec-covid,0.6658020146085991,0.6658020146085991,0.0,0.6506766989181928,0.09687098864289931,0.86,0.86,1.0,1.0,0.0,0.0
tinybert-l2,nfcorpus,0.32829831069562043,0.32829831069562043,0.0,0.41403089393040954,0.23612018488155653,0.6440677966101694,0.6440677966101694,0.5479876160990712,0.5479876160990712,0.4520123839009288,0.4520123839009288
tinybert-l2,fiqa,0.2701821571783029,0.2701821571783029,0.0,0.29490679437271955,0.49462447703188445,0.27171903881700554,0.27171903881700554,0.8348765432098766,0.8348765432098766,0.16512345679012347,0.16512345679012347
tinybert-l2,scifact,0.6629432747907762,0.6629432747907762,0.0,0.6348892817302806,0.8758888888888888,0.6652360515021459,0.6652360515021459,0.7766666666666666,0.7766666666666666,0.22333333333333333,0.22333333333333333
tinybert-l2,arguana,0.25582290427364063,0.25582290427364063,0.0,0.18086140957131905,0.9359886201991465,0.0007112375533428165,0.0007112375533428165,1.0,1.0,0.0,0.0
tinybert-l2,scidocs,0.15108147976522107,0.15108147976522107,0.0,0.2052374556755426,0.3417833333333334,0.1988095238095238,0.1988095238095238,0.84,0.84,0.16,0.16
tinybert-l2,webis-touche2020,0.24415889598805054,0.24415889598805054,0.0,0.27078608121747133,0.5787112228565428,0.2857142857142857,0.2857142857142857,1.0,1.0,0.0,0.0
tinybert-l2,quora,0.787813241175326,0.787813241175326,0.0,0.7607436432487407,0.949352380952381,0.7084607543323139,0.7084607543323139,0.981,0.981,0.019,0.019
tinybert-l2,dbpedia-entity,0.3626257878971513,0.3626257878971513,0.0,0.4737152684934148,0.42142210698101645,0.5762273901808785,0.5762273901808785,0.9675,0.9675,0.0325,0.0325
