model,dataset,n_judged,n_positive,prevalence,ece,ece_ci_lo,ece_ci_hi,mce,brier,auc_roc
minilm-l6,trec-covid,3475,2169,0.6241726618705036,0.232258557306884,0.1888117192239473,0.2805268165768745,0.3882216184060155,0.2527916060234256,0.7496370971442934
minilm-l6,nfcorpus,1941,1941,1.0,0.7096240748413817,0.6666980453140713,0.7486645537107242,0.9919802835211158,0.6485334051578415,
minilm-l6,fiqa,756,756,1.0,0.3161440117471906,0.2864703421315433,0.3483729722687089,0.9821760524064302,0.2359248294335268,
minilm-l6,scifact,298,298,1.0,0.2857914989495388,0.2352326723583691,0.3334722921955563,0.9893497275188564,0.222593825333723,
minilm-l6,arguana,1316,1316,1.0,0.5461074565056044,0.527210763837409,0.5652978169286657,0.9735981207340956,0.4158242241375129,
minilm-l6,scidocs,1774,1683,0.9487034949267192,0.5272596404796388,0.5019077221407621,0.551125061432556,0.878310959699542,0.4572962540316578,0.8135132841015194
minilm-l6,webis-touche2020,635,495,0.7795275590551181,0.2233927879291843,0.1857535458074084,0.2710669083191018,0.6832937208505777,0.223499210560298,0.6252236652236651
minilm-l6,quora,1278,1278,1.0,0.0994343635449783,0.0845016841274502,0.1154077336141174,0.9715597238391638,0.0542912556921438,
minilm-l12,trec-covid,3475,2169,0.6241726618705036,0.2480264278469111,0.20299408063303,0.2966468909945728,0.3920330099570446,0.2615780711712419,0.7562185946057386
minilm-l12,nfcorpus,1941,1941,1.0,0.5929743782705919,0.5475754881512341,0.6383526496263198,0.9903445718809962,0.5303498266372829,
minilm-l12,fiqa,756,756,1.0,0.2471530753922052,0.2193578845261059,0.2771924821192932,0.98199612647295,0.177294790776169,
minilm-l12,scifact,298,298,1.0,0.2409412365831785,0.1947103163224652,0.2873236020613294,0.9870402310043572,0.1892750475424871,
minilm-l12,arguana,1316,1316,1.0,0.2690160972346469,0.2504268378004471,0.2878053217761127,0.9784688800573348,0.1850911320445075,
minilm-l12,scidocs,1774,1683,0.9487034949267192,0.4858333240588655,0.4601672311750082,0.5099786701206589,0.8681490029665613,0.4215727449073205,0.8181948770184064
minilm-l12,webis-touche2020,635,495,0.7795275590551181,0.1508462858716334,0.1233533041281152,0.198392939373407,0.5198971033096313,0.1729381908824702,0.6460533910533911
minilm-l12,quora,1278,1278,1.0,0.0761373664656179,0.0613709923748474,0.0917441469913171,0.9767348375171424,0.0412307510634734,
tinybert-l2,trec-covid,3475,2169,0.6241726618705036,0.268215687161298,0.2256084033164817,0.3135735199318562,0.3586858634437833,0.2814640519153625,0.7197825124597824
tinybert-l2,nfcorpus,1941,1941,1.0,0.7643823138117168,0.7237083374085891,0.803684819830832,0.994121425319463,0.7234453163211043,
tinybert-l2,fiqa,756,756,1.0,0.4114100983065784,0.3745704367475675,0.4473250761121199,0.9879517601802944,0.352316711860438,
tinybert-l2,scifact,298,298,1.0,0.3318722371149483,0.2791506292929434,0.3814248775725317,0.9870303068310022,0.2814632375519343,
tinybert-l2,arguana,1316,1316,1.0,0.6295470356782701,0.6061438250945815,0.6502643144226316,0.988472044467926,0.5545021876268708,
tinybert-l2,scidocs,1774,1683,0.9487034949267192,0.5460767735387991,0.5203834307794948,0.5719466375173283,0.8960706223236415,0.5030633225343207,0.777059541765424
tinybert-l2,webis-touche2020,635,495,0.7795275590551181,0.3381613917942121,0.2869664806973477,0.3974693813434337,0.6703966168256906,0.329759538358383,0.5827489177489178
tinybert-l2,quora,1278,1278,1.0,0.0848584414367944,0.070015154497885,0.1003816485917306,0.9828380309045316,0.0674541260346581,
bge-reranker,trec-covid,3475,2169,0.6241726618705036,0.2263649631999165,0.1860886239358531,0.2732488488830665,0.3658049020214357,0.2564185836117857,0.7246675802781362
bge-reranker,nfcorpus,1941,1941,1.0,0.6623821766794663,0.6129509014675099,0.7104684260464975,0.988119405694306,0.5683100245296645,
bge-reranker,fiqa,756,756,1.0,0.5096761024305744,0.4744122103580858,0.5434181890586682,0.979672910645604,0.411912242522565,
bge-reranker,scifact,298,298,1.0,0.4447803009838965,0.3959801506234525,0.4936943391619524,0.980979124084115,0.3622377688683433,
bge-reranker,arguana,1316,1316,1.0,0.4456368331503021,0.4255026246350977,0.4638489160015486,0.9758288990706204,0.3350485945130079,
bge-reranker,scidocs,1774,1683,0.9487034949267192,0.7520845472674055,0.7322049753997776,0.7705211009152395,0.9081411616874951,0.6873297330247847,0.7988612694495048
bge-reranker,webis-touche2020,635,495,0.7795275590551181,0.2915524551483589,0.2485204257100492,0.3429363000369665,0.6967276619828265,0.2855385598342209,0.6821067821067821
bge-reranker,quora,1278,1278,1.0,0.0590978751967607,0.0492403635117557,0.0699958539112642,0.9728283639997244,0.0301549491675482,
electra-base,trec-covid,3475,2169,0.6241726618705036,0.2784760329296155,0.2300634444292828,0.3310595617122949,0.5415718078613281,0.2855232528058149,0.7308879399755852
electra-base,nfcorpus,1941,1941,1.0,0.8523340303391327,0.8216565878092241,0.8802929758560302,0.991158064454794,0.8235922225388017,
electra-base,fiqa,756,756,1.0,0.3985293494172828,0.3611962228750872,0.4325793168180825,0.9812874086201192,0.3378316425108904,
electra-base,scifact,298,298,1.0,0.2368707828873756,0.1932995769541995,0.2814496718868972,0.9872563183307648,0.1911225196083119,
electra-base,arguana,1316,1316,1.0,0.1280389444854416,0.1143013866293798,0.1425144308862364,0.9694841150194408,0.0806173737041639,
electra-base,scidocs,1774,1683,0.9487034949267192,0.5000850161350634,0.4718962842753542,0.5243307206091092,0.8913858804365863,0.4616681990351334,0.7918062329827036
electra-base,webis-touche2020,635,495,0.7795275590551181,0.2811665367071084,0.2320001038478477,0.3450830853184136,0.8056347482815022,0.285119272341531,0.6853968253968253
electra-base,quora,1278,1278,1.0,0.4940947755422086,0.4694165247889228,0.5185302174535558,0.9781666118651628,0.3703856108112002,
minilm-l6,dbpedia-entity,9182,3186,0.34698322805489,0.2947732816577896,0.27159451246719307,0.31810211408032973,0.5912415649900105,0.2933954237554022,0.827297137200067
minilm-l12,dbpedia-entity,9182,3186,0.34698322805489,0.3135519902235247,0.28993687192968326,0.3376285373868641,0.6386899899094651,0.30793299556536147,0.8237103402686956
