model,dataset,method,tau,precision,coverage,n_accepted
minilm-l6,dbpedia-entity,raw,0.01,0.3937719738824711,0.8673491614027445,3982
minilm-l6,dbpedia-entity,raw,0.02,0.40676202860858257,0.837508168155086,3845
minilm-l6,dbpedia-entity,raw,0.03,0.4143808255659121,0.8179045959485951,3755
minilm-l6,dbpedia-entity,raw,0.04,0.4202819956616052,0.8033108255282073,3688
minilm-l6,dbpedia-entity,raw,0.05,0.423013698630137,0.7950337617076889,3650
minilm-l6,dbpedia-entity,raw,0.060000000000000005,0.4266334440753045,0.7867566978871705,3612
minilm-l6,dbpedia-entity,raw,0.06999999999999999,0.43073047858942065,0.7782618165976911,3573
minilm-l6,dbpedia-entity,raw,0.08,0.4326381059751973,0.7728163798736659,3548
minilm-l6,dbpedia-entity,raw,0.09,0.43511667615253274,0.7654105859289915,3514
minilm-l6,dbpedia-entity,raw,0.09999999999999999,0.4370689655172414,0.7580047919843171,3480
minilm-l6,dbpedia-entity,raw,0.11,0.4398496240601504,0.7532128076671749,3458
minilm-l6,dbpedia-entity,raw,0.12,0.4423412929528247,0.7479851884121107,3434
minilm-l6,dbpedia-entity,raw,0.13,0.4450629944330501,0.7434110215639295,3413
minilm-l6,dbpedia-entity,raw,0.14,0.44722877358490565,0.7388368547157482,3392
minilm-l6,dbpedia-entity,raw,0.15000000000000002,0.44822485207100593,0.7362230450882161,3380
minilm-l6,dbpedia-entity,raw,0.16,0.4504611722701577,0.7320845131779569,3361
minilm-l6,dbpedia-entity,raw,0.17,0.45188284518828453,0.7288172511435417,3346
minilm-l6,dbpedia-entity,raw,0.18000000000000002,0.45345345345345345,0.7253321716401655,3330
minilm-l6,dbpedia-entity,raw,0.19,0.45561594202898553,0.7214114571988673,3312
minilm-l6,dbpedia-entity,raw,0.2,0.45733373823261464,0.7172729252886082,3293
minilm-l6,dbpedia-entity,raw,0.21000000000000002,0.4587016153611704,0.714659115661076,3281
minilm-l6,dbpedia-entity,raw,0.22,0.46003062787136295,0.7111740361576998,3265
minilm-l6,dbpedia-entity,raw,0.23,0.461136712749616,0.7089958614680898,3255
minilm-l6,dbpedia-entity,raw,0.24000000000000002,0.46263125386040765,0.7052929644957525,3238
minilm-l6,dbpedia-entity,raw,0.25,0.46296870158041525,0.7028969723371814,3227
minilm-l6,dbpedia-entity,raw,0.26,0.46366459627329193,0.7013722500544544,3220
minilm-l6,dbpedia-entity,raw,0.27,0.4650655021834061,0.6983228054890002,3206
minilm-l6,dbpedia-entity,raw,0.28,0.46599811971168914,0.6950555434545851,3191
minilm-l6,dbpedia-entity,raw,0.29000000000000004,0.4671486953788117,0.692877368764975,3181
minilm-l6,dbpedia-entity,raw,0.3,0.4682865257178921,0.6902635591374429,3169
minilm-l6,dbpedia-entity,raw,0.31,0.46999047316608444,0.6859072097582226,3149
minilm-l6,dbpedia-entity,raw,0.32,0.4713193116634799,0.6835112175996515,3138
minilm-l6,dbpedia-entity,raw,0.33,0.47220447284345046,0.6817686778479634,3130
minilm-l6,dbpedia-entity,raw,0.34,0.47476695596271296,0.6776301459377042,3111
minilm-l6,dbpedia-entity,raw,0.35000000000000003,0.47583762886597936,0.6761054236549772,3104
minilm-l6,dbpedia-entity,raw,0.36000000000000004,0.4774862325882734,0.67240252668264,3087
minilm-l6,dbpedia-entity,raw,0.37,0.4788411458333333,0.6691352646482248,3072
minilm-l6,dbpedia-entity,raw,0.38,0.4802222948676038,0.6663036375517316,3059
minilm-l6,dbpedia-entity,raw,0.39,0.4812992125984252,0.6639076453931605,3048
minilm-l6,dbpedia-entity,raw,0.4,0.4818721160184575,0.6608582008277064,3034
minilm-l6,dbpedia-entity,raw,0.41000000000000003,0.4832615180643023,0.6571553038553692,3017
minilm-l6,dbpedia-entity,raw,0.42000000000000004,0.4858286095365122,0.653234589414071,2999
minilm-l6,dbpedia-entity,raw,0.43,0.4871108135252762,0.6506207797865389,2987
minilm-l6,dbpedia-entity,raw,0.44,0.48905355338497813,0.6467000653452407,2969
minilm-l6,dbpedia-entity,raw,0.45,0.4910260751777853,0.6432149858418645,2953
minilm-l6,dbpedia-entity,raw,0.46,0.4908350305498982,0.6416902635591375,2946
minilm-l6,dbpedia-entity,raw,0.47000000000000003,0.49250170415814587,0.6390764539316053,2934
minilm-l6,dbpedia-entity,raw,0.48000000000000004,0.4924812030075188,0.6373339141799172,2926
minilm-l6,dbpedia-entity,raw,0.49,0.4946717084908903,0.6336310172075801,2909
minilm-l6,dbpedia-entity,raw,0.5,0.49602488765986863,0.6301459377042039,2893
minilm-l6,dbpedia-entity,raw,0.51,0.49791376912378305,0.6264430407318667,2876
minilm-l6,dbpedia-entity,raw,0.52,0.49843041506801533,0.6244826835112176,2867
minilm-l6,dbpedia-entity,raw,0.53,0.49982511367611054,0.6227401437595295,2859
minilm-l6,dbpedia-entity,raw,0.54,0.5022879267863428,0.6188194293182313,2841
minilm-l6,dbpedia-entity,raw,0.55,0.503177966101695,0.6168590720975822,2832
minilm-l6,dbpedia-entity,raw,0.56,0.5040765685926977,0.6144630799390111,2821
minilm-l6,dbpedia-entity,raw,0.5700000000000001,0.5057061340941512,0.6107601829666739,2804
minilm-l6,dbpedia-entity,raw,0.5800000000000001,0.5077143882310728,0.6070572859943367,2787
minilm-l6,dbpedia-entity,raw,0.59,0.5091825711199136,0.6048791113047266,2777
minilm-l6,dbpedia-entity,raw,0.6,0.5104920405209841,0.6020474842082335,2764
minilm-l6,dbpedia-entity,raw,0.61,0.5121685434071922,0.5996514920496624,2753
minilm-l6,dbpedia-entity,raw,0.62,0.5136612021857924,0.5979089522979742,2745
minilm-l6,dbpedia-entity,raw,0.63,0.5155620651775906,0.5948595077325202,2731
minilm-l6,dbpedia-entity,raw,0.64,0.5174568173465638,0.59268133304291,2721
minilm-l6,dbpedia-entity,raw,0.65,0.5192165558019216,0.5894140710084949,2706
minilm-l6,dbpedia-entity,raw,0.66,0.520817843866171,0.5859289915051187,2690
minilm-l6,dbpedia-entity,raw,0.67,0.5212845407020165,0.5833151818775866,2678
minilm-l6,dbpedia-entity,raw,0.68,0.5236842105263158,0.5793944674362884,2660
minilm-l6,dbpedia-entity,raw,0.6900000000000001,0.5245098039215687,0.5776519276846003,2652
minilm-l6,dbpedia-entity,raw,0.7000000000000001,0.5258358662613982,0.5732955783053801,2632
minilm-l6,dbpedia-entity,raw,0.7100000000000001,0.5277246653919694,0.5695926813330429,2615
minilm-l6,dbpedia-entity,raw,0.72,0.5266999615827891,0.5669788717055108,2603
minilm-l6,dbpedia-entity,raw,0.73,0.5281635802469136,0.5645828795469396,2592
minilm-l6,dbpedia-entity,raw,0.74,0.53027950310559,0.5610978000435635,2576
minilm-l6,dbpedia-entity,raw,0.75,0.533359497645212,0.5549989109126552,2548
minilm-l6,dbpedia-entity,raw,0.76,0.5349388077378603,0.55173164887824,2533
minilm-l6,dbpedia-entity,raw,0.77,0.5367500993245927,0.5482465693748638,2517
minilm-l6,dbpedia-entity,raw,0.78,0.5388,0.5445436724025267,2500
minilm-l6,dbpedia-entity,raw,0.79,0.5413473174667205,0.5399695055543454,2479
minilm-l6,dbpedia-entity,raw,0.8,0.5417341977309562,0.5375735133957743,2468
minilm-l6,dbpedia-entity,raw,0.81,0.5435582822085889,0.5325637116096711,2445
minilm-l6,dbpedia-entity,raw,0.8200000000000001,0.5447422680412372,0.5282073622304508,2425
minilm-l6,dbpedia-entity,raw,0.8300000000000001,0.546622461665976,0.5255935526029187,2413
minilm-l6,dbpedia-entity,raw,0.8400000000000001,0.5502933780385583,0.5197124809409714,2386
minilm-l6,dbpedia-entity,raw,0.85,0.5539965986394558,0.5123066869962971,2352
minilm-l6,dbpedia-entity,raw,0.86,0.5574193548387096,0.5064256153343498,2325
minilm-l6,dbpedia-entity,raw,0.87,0.5604347826086956,0.5009801786103245,2300
minilm-l6,dbpedia-entity,raw,0.88,0.5638998682476943,0.4959703768242213,2277
minilm-l6,dbpedia-entity,raw,0.89,0.5672905525846702,0.48878240034850795,2244
minilm-l6,dbpedia-entity,raw,0.9,0.5731818181818182,0.4791984317142235,2200
minilm-l6,dbpedia-entity,raw,0.91,0.5809744779582366,0.469396645610978,2155
minilm-l6,dbpedia-entity,raw,0.92,0.5845570819516817,0.45981267697669354,2111
minilm-l6,dbpedia-entity,raw,0.93,0.5900048520135857,0.44892180352864297,2061
minilm-l6,dbpedia-entity,raw,0.9400000000000001,0.5975124378109453,0.43781311261163147,2010
minilm-l6,dbpedia-entity,raw,0.9500000000000001,0.6008209338122114,0.4245262470050098,1949
minilm-l6,dbpedia-entity,raw,0.9600000000000001,0.6073326248671626,0.40993247658462206,1882
minilm-l6,dbpedia-entity,raw,0.97,0.6226309921962095,0.39076453931605315,1794
minilm-l6,dbpedia-entity,raw,0.98,0.6464155528554071,0.35852755390982355,1646
minilm-l6,dbpedia-entity,raw,0.99,0.6913669064748201,0.30276628185580484,1390
minilm-l6,dbpedia-entity,temp,0.01,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.02,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.03,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.04,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.05,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.060000000000000005,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.06999999999999999,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.08,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.09,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.09999999999999999,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.11,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.12,0.34698322805489,1.0,4591
minilm-l6,dbpedia-entity,temp,0.13,0.34713445195031595,0.999564365062078,4589
minilm-l6,dbpedia-entity,temp,0.14,0.3485014220083133,0.9956436506207798,4571
minilm-l6,dbpedia-entity,temp,0.15000000000000002,0.35066079295154184,0.9888913090829885,4540
minilm-l6,dbpedia-entity,temp,0.16,0.3525243578387954,0.9836636898279242,4516
minilm-l6,dbpedia-entity,temp,0.17,0.354802763539113,0.9773469832280549,4487
minilm-l6,dbpedia-entity,temp,0.18000000000000002,0.35663082437275984,0.9723371814419517,4464
minilm-l6,dbpedia-entity,temp,0.19,0.35863933318314933,0.9668917447179264,4439
minilm-l6,dbpedia-entity,temp,0.2,0.36099773242630384,0.9605750381180571,4410
minilm-l6,dbpedia-entity,temp,0.21000000000000002,0.3634703196347032,0.9540405140492267,4380
minilm-l6,dbpedia-entity,temp,0.22,0.3657247875028716,0.9481594423872794,4353
minilm-l6,dbpedia-entity,temp,0.23,0.3677150786308973,0.9418427357874102,4324
minilm-l6,dbpedia-entity,temp,0.24000000000000002,0.3711749591217005,0.9324765846220867,4281
minilm-l6,dbpedia-entity,temp,0.25,0.37379212821117136,0.9241995208015683,4243
minilm-l6,dbpedia-entity,temp,0.26,0.37690114068441066,0.9165759093879329,4208
minilm-l6,dbpedia-entity,temp,0.27,0.3804034582132565,0.9069919407536484,4164
minilm-l6,dbpedia-entity,temp,0.28,0.38306647258612325,0.8978436070572859,4122
minilm-l6,dbpedia-entity,temp,0.29000000000000004,0.3863524791359843,0.8873883685471575,4074
minilm-l6,dbpedia-entity,temp,0.3,0.3909045725646123,0.8764974950991069,4024
minilm-l6,dbpedia-entity,temp,0.31,0.3930360721442886,0.8695273360923546,3992
minilm-l6,dbpedia-entity,temp,0.32,0.39701038763617935,0.8597255499891091,3947
minilm-l6,dbpedia-entity,temp,0.33,0.40190035952747816,0.8481812241341755,3894
minilm-l6,dbpedia-entity,temp,0.34,0.4073977598332899,0.83620126334132,3839
minilm-l6,dbpedia-entity,temp,0.35000000000000003,0.4116715077898072,0.8248747549553475,3787
minilm-l6,dbpedia-entity,temp,0.36000000000000004,0.4161756829137654,0.8133304291004139,3734
minilm-l6,dbpedia-entity,temp,0.37,0.4216113228089276,0.8002613809627532,3674
minilm-l6,dbpedia-entity,temp,0.38,0.4247178640242224,0.7913308647353517,3633
minilm-l6,dbpedia-entity,temp,0.39,0.4301285634432644,0.7793509039424962,3578
minilm-l6,dbpedia-entity,temp,0.4,0.43419190489668835,0.7695491178392507,3533
minilm-l6,dbpedia-entity,temp,0.41000000000000003,0.4388343912290825,0.7549553474188629,3466
minilm-l6,dbpedia-entity,temp,0.42000000000000004,0.4454225352112676,0.7423219342191244,3408
minilm-l6,dbpedia-entity,temp,0.43,0.45096870342771983,0.7307776083641908,3355
minilm-l6,dbpedia-entity,temp,0.44,0.45625189221919465,0.7194510999782182,3303
minilm-l6,dbpedia-entity,temp,0.45,0.4622496147919877,0.7068176867784797,3245
minilm-l6,dbpedia-entity,temp,0.46,0.4664366373902133,0.694402091047702,3188
minilm-l6,dbpedia-entity,temp,0.47000000000000003,0.472355385107063,0.6815508603790024,3129
minilm-l6,dbpedia-entity,temp,0.48000000000000004,0.4810085134250164,0.6652145502069265,3054
minilm-l6,dbpedia-entity,temp,0.49,0.48921832884097033,0.6464822478762797,2968
minilm-l6,dbpedia-entity,temp,0.5,0.49602488765986863,0.6301459377042039,2893
minilm-l6,dbpedia-entity,temp,0.51,0.5033628318584071,0.6153343498148551,2825
minilm-l6,dbpedia-entity,temp,0.52,0.5129137868315751,0.5987802221738183,2749
minilm-l6,dbpedia-entity,temp,0.53,0.5216417910447761,0.5837508168155086,2680
minilm-l6,dbpedia-entity,temp,0.54,0.5264773599386032,0.5676323241123938,2606
minilm-l6,dbpedia-entity,temp,0.55,0.5362089434111594,0.550424744064474,2527
minilm-l6,dbpedia-entity,temp,0.56,0.5418359057676686,0.5362666085820083,2462
minilm-l6,dbpedia-entity,temp,0.5700000000000001,0.5495194316757208,0.5212372032236985,2393
minilm-l6,dbpedia-entity,temp,0.5800000000000001,0.559410234171726,0.5022870834240906,2306
minilm-l6,dbpedia-entity,temp,0.59,0.5680393912264996,0.4866042256588978,2234
minilm-l6,dbpedia-entity,temp,0.6,0.5824742268041238,0.46482247876279675,2134
minilm-l6,dbpedia-entity,temp,0.61,0.590931253047294,0.4467436288390329,2051
minilm-l6,dbpedia-entity,temp,0.62,0.597979797979798,0.43127858854280116,1980
minilm-l6,dbpedia-entity,temp,0.63,0.6038824763903463,0.4151600958396863,1906
minilm-l6,dbpedia-entity,temp,0.64,0.6174055829228243,0.3979525157917665,1827
minilm-l6,dbpedia-entity,temp,0.65,0.6326647564469914,0.38009148333696363,1745
minilm-l6,dbpedia-entity,temp,0.66,0.644927536231884,0.3607057285994337,1656
minilm-l6,dbpedia-entity,temp,0.67,0.6686084142394823,0.3365279895447615,1545
minilm-l6,dbpedia-entity,temp,0.68,0.6815374056280027,0.3173600522761926,1457
minilm-l6,dbpedia-entity,temp,0.6900000000000001,0.6974358974358974,0.2973208451317796,1365
minilm-l6,dbpedia-entity,temp,0.7000000000000001,0.7082683307332294,0.2792419952080157,1282
minilm-l6,dbpedia-entity,temp,0.7100000000000001,0.7257383966244726,0.25811370071879763,1185
minilm-l6,dbpedia-entity,temp,0.72,0.7425650557620818,0.23437159660204748,1076
minilm-l6,dbpedia-entity,temp,0.73,0.7673935617860852,0.2097582226094533,963
minilm-l6,dbpedia-entity,temp,0.74,0.7799539170506913,0.18906556305815728,868
minilm-l6,dbpedia-entity,temp,0.75,0.8023407022106632,0.1675016336310172,769
minilm-l6,dbpedia-entity,temp,0.76,0.8130563798219584,0.14680897407972118,674
minilm-l6,dbpedia-entity,temp,0.77,0.8271812080536913,0.12981921150076237,596
minilm-l6,dbpedia-entity,temp,0.78,0.8440545808966862,0.11174036157699847,513
minilm-l6,dbpedia-entity,temp,0.79,0.860730593607306,0.09540405140492267,438
minilm-l6,dbpedia-entity,temp,0.8,0.8942857142857142,0.07623611413635374,350
minilm-l6,dbpedia-entity,temp,0.81,0.9120879120879121,0.059464169026355915,273
minilm-l6,dbpedia-entity,temp,0.8200000000000001,0.9583333333333334,0.04182095404051405,192
minilm-l6,dbpedia-entity,temp,0.8300000000000001,0.9710144927536232,0.030058810716619474,138
minilm-l6,dbpedia-entity,temp,0.8400000000000001,0.9523809523809523,0.018296667392724897,84
minilm-l6,dbpedia-entity,temp,0.85,0.9534883720930233,0.00936615116532346,43
minilm-l6,dbpedia-entity,temp,0.86,,0.003920714441298192,18
minilm-l6,dbpedia-entity,temp,0.87,,0.000653452406883032,3
minilm-l6,dbpedia-entity,temp,0.88,,0.0,0
minilm-l6,dbpedia-entity,temp,0.89,,0.0,0
minilm-l6,dbpedia-entity,temp,0.9,,0.0,0
minilm-l6,dbpedia-entity,temp,0.91,,0.0,0
minilm-l6,dbpedia-entity,temp,0.92,,0.0,0
minilm-l6,dbpedia-entity,temp,0.93,,0.0,0
minilm-l6,dbpedia-entity,temp,0.9400000000000001,,0.0,0
minilm-l6,dbpedia-entity,temp,0.9500000000000001,,0.0,0
minilm-l6,dbpedia-entity,temp,0.9600000000000001,,0.0,0
minilm-l6,dbpedia-entity,temp,0.97,,0.0,0
minilm-l6,dbpedia-entity,temp,0.98,,0.0,0
minilm-l6,dbpedia-entity,temp,0.99,,0.0,0
minilm-l6,dbpedia-entity,platt,0.01,0.35591325732170803,0.9742975386626007,4473
minilm-l6,dbpedia-entity,platt,0.02,0.3681649675625579,0.940100196035722,4316
minilm-l6,dbpedia-entity,platt,0.03,0.38067772170151404,0.9063384883467654,4161
minilm-l6,dbpedia-entity,platt,0.04,0.3911962198458095,0.8758440426922239,4021
minilm-l6,dbpedia-entity,platt,0.05,0.4011270491803279,0.8503593988237856,3904
minilm-l6,dbpedia-entity,platt,0.060000000000000005,0.4115628299894403,0.8250925724243084,3788
minilm-l6,dbpedia-entity,platt,0.06999999999999999,0.42080956261885355,0.8017861032454803,3681
minilm-l6,dbpedia-entity,platt,0.08,0.4278178789561355,0.7845785231975605,3602
minilm-l6,dbpedia-entity,platt,0.09,0.4346961953435548,0.7671531256806796,3522
minilm-l6,dbpedia-entity,platt,0.09999999999999999,0.44272806761877004,0.7473317360052276,3431
minilm-l6,dbpedia-entity,platt,0.11,0.44965844965844964,0.7333914179917229,3367
minilm-l6,dbpedia-entity,platt,0.12,0.4574726609963548,0.7170551078196471,3292
minilm-l6,dbpedia-entity,platt,0.13,0.46253869969040246,0.7035504247440645,3230
minilm-l6,dbpedia-entity,platt,0.14,0.46813880126182966,0.6904813766064039,3170
minilm-l6,dbpedia-entity,platt,0.15000000000000002,0.47583762886597936,0.6761054236549772,3104
minilm-l6,dbpedia-entity,platt,0.16,0.48217821782178216,0.6599869309518623,3030
minilm-l6,dbpedia-entity,platt,0.17,0.4911864406779661,0.6425615334349815,2950
minilm-l6,dbpedia-entity,platt,0.18000000000000002,0.49670710571923743,0.6284033979525158,2885
minilm-l6,dbpedia-entity,platt,0.19,0.5033557046979866,0.6166412546286212,2831
minilm-l6,dbpedia-entity,platt,0.2,0.5104920405209841,0.6020474842082335,2764
minilm-l6,dbpedia-entity,platt,0.21000000000000002,0.5180279617365711,0.592027880636027,2718
minilm-l6,dbpedia-entity,platt,0.22,0.5238811583301993,0.5791766499673274,2659
minilm-l6,dbpedia-entity,platt,0.23,0.5264773599386032,0.5676323241123938,2606
minilm-l6,dbpedia-entity,platt,0.24000000000000002,0.5329153605015674,0.5558701807884993,2552
minilm-l6,dbpedia-entity,platt,0.25,0.5387380191693291,0.5454149422783707,2504
minilm-l6,dbpedia-entity,platt,0.26,0.5418359057676686,0.5362666085820083,2462
