model,dataset,prevalence,n_judged,ece_ew_5,ece_em_5,ece_ew_10,ece_em_10,ece_ew_20,ece_em_20,ece_ew_30,ece_em_30,ece_ew_15,ece_em_15
minilm-l6,trec-covid,0.6241726618705036,3475,0.2322585444956375,0.23162904230810757,0.23225854782374214,0.2316290437946056,0.23248189172888403,0.23162903852213895,0.23377828018471816,0.23162905438080353,0.232258557306884,0.23162905872906656
minilm-l6,nfcorpus,1.0,1941,0.7096240747641314,0.7096240622879595,0.7096240534478321,0.7096240512168347,0.7096240682731827,0.7096240631075488,0.7096240761570367,0.7096240716965093,0.7096240748413817,0.7096240635082061
minilm-l6,fiqa,1.0,756,0.316144001734241,0.3161440261654437,0.3161439693350562,0.3161440326341936,0.31614401913371193,0.3161439922636389,0.3161440300829118,0.31614400867250175,0.3161440117471906,0.3161440099621555
minilm-l6,scifact,1.0,298,0.2857915129037512,0.28579151441636896,0.2857915268798402,0.2857914694081741,0.28579149966521955,0.2857914746915937,0.2857915158039771,0.2857914872412044,0.2857914989495388,0.28579147764553475
minilm-l6,arguana,1.0,1316,0.5461074660976607,0.546107456497112,0.5461074556860972,0.5461074539104981,0.5461074625153242,0.5461074567639119,0.5461074624091704,0.5461074683799672,0.5461074565056044,0.54610745593202
minilm-l6,scidocs,0.9487034949267192,1774,0.527259635586783,0.5272596485767378,0.5272596450785034,0.5272596448570994,0.527259644652741,0.5272596356530296,0.5272596420582675,0.52725963179613,0.5272596404796388,0.5272596332141071
minilm-l6,webis-touche2020,0.7795275590551181,635,0.22286436344225577,0.22067195830030706,0.222864348388563,0.22067195998438757,0.22564062992565506,0.22140087111024406,0.22937881095320217,0.2248396416589816,0.22339278792918435,0.2206719392404606
minilm-l6,quora,1.0,1278,0.09943440786806255,0.09943437762849953,0.09943437918507624,0.09943437053937121,0.09943437225335452,0.09943440071480562,0.09943443300794219,0.09943440984439031,0.09943436354497835,0.09943437285966156
minilm-l6,dbpedia-entity,0.34698322805489,9182,0.2926240188193993,0.2941339541469244,0.2971978942145322,0.2941339411892981,0.2971978595945274,0.29537856554152514,0.2971978796265842,0.29683039923980964,0.2947732816577896,0.2941339330047127
minilm-l12,trec-covid,0.6241726618705036,3475,0.24501109564797488,0.23525675960581938,0.24625711203854292,0.23525678570214792,0.24656236449109134,0.2465888148783907,0.24826616400718796,0.2450493291672403,0.24802642784691115,0.2450493361561714
minilm-l12,nfcorpus,1.0,1941,0.5929743641510508,0.5929743590563658,0.5929743714576865,0.5929743668641094,0.5929743569377388,0.5929743705312868,0.5929743660472826,0.5929743700796067,0.5929743782705919,0.5929743702882966
minilm-l12,fiqa,1.0,756,0.24715308513906267,0.2471530703167436,0.24715309244181424,0.24715308095796634,0.24715308940146494,0.2471530940322077,0.24715309164353774,0.24715307166660688,0.2471530753922052,0.24715307702571548
minilm-l12,scifact,1.0,298,0.24094120618080936,0.2409412383583168,0.24094122928886008,0.24094123884116692,0.24094125165935332,0.24094123148512492,0.2409412534126149,0.24094123537566248,0.2409412365831785,0.24094124042605614
minilm-l12,arguana,1.0,1316,0.2690160925921879,0.2690161177633744,0.2690161051862735,0.26901610968860945,0.26901609183354214,0.2690160999539532,0.26901610598738074,0.2690161164767904,0.2690160972346469,0.2690160908300351
minilm-l12,scidocs,0.9487034949267192,1774,0.4858333293134357,0.48583332832278986,0.48583331167605504,0.48590898483402256,0.48583333128212774,0.48691286902406883,0.4858333301812351,0.4874630824843265,0.48583332405886553,0.4864807203263748
minilm-l12,webis-touche2020,0.7795275590551181,635,0.14451448577126177,0.14565403168126356,0.15160808498406506,0.14565402483787593,0.1594636887634598,0.14573782629912763,0.1582910781124915,0.14970301343852244,0.1508462858716334,0.1482002197229487
minilm-l12,quora,1.0,1278,0.07613731835602967,0.07613733480793768,0.07613734185042703,0.07613732163241956,0.07613737453270779,0.07613732847669313,0.07613734709294237,0.07613734612955547,0.0761373664656179,0.07613735747449275
minilm-l12,dbpedia-entity,0.34698322805489,9182,0.3096287860842416,0.3129774800985986,0.31404724468273604,0.3129774596666066,0.31404729014663413,0.31297746782819136,0.31404725553038215,0.313539466764922,0.3135519902235247,0.3129774483634422
tinybert-l2,trec-covid,0.6241726618705036,3475,0.26521521014596916,0.2634794713192278,0.26682984607950816,0.2634794452739879,0.26710324703709043,0.2634794605372763,0.2695834052715477,0.26650612691200837,0.26821568716129807,0.26347945831370173
tinybert-l2,nfcorpus,1.0,1941,0.764382323230502,0.764382323420959,0.7643823111444206,0.7643823138408393,0.7643823128012247,0.764382314054147,0.7643823197751082,0.7643823144303991,0.7643823138117168,0.7643823115237526
tinybert-l2,fiqa,1.0,756,0.4114101199561326,0.41141013068482085,0.4114101051338135,0.4114101573735723,0.4114101068671083,0.41141014821094735,0.41141012725642045,0.41141011869132865,0.41141009830657843,0.41141014363810413
tinybert-l2,scifact,1.0,298,0.3318722421965944,0.3318722944975449,0.3318722658609383,0.3318722799444576,0.33187226344199994,0.3318723047487343,0.331872290551925,0.33187228805114416,0.3318722371149483,0.33187228721885276
tinybert-l2,arguana,1.0,1316,0.629547029122212,0.6295470561846167,0.6295470474146332,0.6295470352689809,0.6295470347059013,0.6295470379741885,0.6295470220651084,0.6295470429962191,0.6295470356782701,0.6295470318386986
tinybert-l2,scidocs,0.9487034949267192,1774,0.546076739751844,0.5460767796734732,0.5460767513571525,0.5462895364480707,0.5460767548640489,0.5466172380001522,0.5460767664315586,0.5473957638693762,0.5460767735387991,0.5467113556352624
tinybert-l2,webis-touche2020,0.7795275590551181,635,0.3313248568485806,0.3189554611913948,0.3371863595452014,0.3357886605154939,0.3401696886309958,0.33578866859531314,0.34463369312116837,0.33588780302416993,0.3381613917942121,0.3341258576287847
tinybert-l2,quora,1.0,1278,0.08485850992908406,0.08485845971928328,0.08485846426075613,0.08485843342654585,0.08485839679306707,0.08485844071971978,0.08485845380560357,0.08485843695653532,0.08485844143679444,0.08485844648546643
tinybert-l2,dbpedia-entity,0.34698322805489,9182,0.28179037456865846,0.2790808670323783,0.28179032773556817,0.2790808611360284,0.2818310215522113,0.2816240688187348,0.2824083656982233,0.28126721265698124,0.28179032462149,0.2812672009821058
bge-reranker,trec-covid,0.6241726618705036,3475,0.22443386077666455,0.214468311488414,0.22767666292812325,0.21506153943499537,0.22767662170658004,0.2266702281505794,0.22959626721070828,0.22537819913146254,0.22636496319991653,0.22508896111510696
bge-reranker,nfcorpus,1.0,1941,0.6623821777859217,0.6623821640823809,0.6623821662194807,0.6623821776171465,0.6623821698680007,0.6623821770764464,0.6623821820970671,0.6623821830875871,0.6623821766794663,0.662382176749437
bge-reranker,fiqa,1.0,756,0.5096761250582637,0.5096760955639184,0.5096761348667166,0.5096761161789776,0.509676086472436,0.5096761176166913,0.5096761301361891,0.5096761192539742,0.5096761024305744,0.5096761057610382
bge-reranker,scifact,1.0,298,0.4447802574117512,0.444780293545817,0.4447802429231222,0.444780284677157,0.44478028716406953,0.44478027159019967,0.4447802814011205,0.4447802756776278,0.4447803009838965,0.4447802708612367
bge-reranker,arguana,1.0,1316,0.44563684526457253,0.4456368514073384,0.4456368419355898,0.4456368558657976,0.4456368466290025,0.44563685460875974,0.4456368449772495,0.44563685559218613,0.44563683315030217,0.4456368536585063
bge-reranker,scidocs,0.9487034949267192,1774,0.7520845479582852,0.7520845486982509,0.752084545833148,0.7520845451869085,0.7520845421955302,0.7520845514848034,0.7520845498445548,0.7520845481894833,0.7520845472674055,0.7520845433572553
bge-reranker,webis-touche2020,0.7795275590551181,635,0.2801888851082231,0.2886459957309595,0.29060594231535597,0.28864596266204157,0.2920243363446138,0.2902662874319074,0.29744873711413994,0.29009953825956847,0.2915524551483589,0.2886459749692494
bge-reranker,quora,1.0,1278,0.059097861844888876,0.05909786990177649,0.05909781851725586,0.05909785521049081,0.059097979254204444,0.05909785108293913,0.059097826151477524,0.059097878203518875,0.05909787519676071,0.05909785644642439
