model,dataset,prevalence,T_cap20,T_uncapped,censored,ece_cap20,ece_uncapped
minilm-l6,trec-covid,0.6241726618705036,4.401586567504006,4.401586634724451,False,0.045258989036769115,0.045258989036769115
minilm-l6,nfcorpus,1.0,19.999993094073297,999.999978535216,True,0.5370213568333371,0.5007507801055908
minilm-l6,fiqa,1.0,4.357042417431871,4.357042319503732,False,0.39963413018082816,0.39963413018082816
minilm-l6,scifact,1.0,5.565333843160106,5.565335515741954,False,0.397873651111286,0.3978736471609781
minilm-l6,arguana,1.0,19.999995981181453,999.9999781828193,True,0.5067047282464598,0.5001348853111267
minilm-l6,scidocs,0.9487034949267192,19.999995541733057,999.9999775739013,True,0.4644947786140335,0.44847167573088054
minilm-l6,webis-touche2020,0.7795275590551181,4.826696835834579,4.826696603313794,False,0.21456935683136466,0.21456933693972022
minilm-l6,quora,1.0,1.1282405082590117,1.1282397251115164,False,0.11387891777104614,0.11387881303733689
minilm-l6,dbpedia-entity,0.34698322805489,5.831676149604897,5.831675060549609,False,0.2190502096471431,0.2190502120781973
minilm-l12,trec-covid,0.6241726618705036,4.83742580325122,4.837425396235783,False,0.058311994921660386,0.058311992070891626
minilm-l12,nfcorpus,1.0,19.999996219051077,999.9999782571715,True,0.5210982561725297,0.5004290640354156
minilm-l12,fiqa,1.0,2.8052850434757195,2.805285085228223,False,0.3162572526584857,0.3162572526584857
minilm-l12,scifact,1.0,4.297429372449395,4.297429396174462,False,0.3442233572870293,0.3442233572870293
minilm-l12,arguana,1.0,2.4285875716521543,2.428587482050002,False,0.3486115617060462,0.34861155745423306
minilm-l12,scidocs,0.9487034949267192,19.99999476738354,999.9999745854924,True,0.4580673321056796,0.4483420058261717
minilm-l12,webis-touche2020,0.7795275590551181,3.9736120170810643,3.973611695559365,False,0.15985817176366005,0.15985813629139894
minilm-l12,quora,1.0,1.109156709356754,1.109155519259166,False,0.08730431651938501,0.08730429359923039
minilm-l12,dbpedia-entity,0.34698322805489,6.588227321871549,6.588228239469915,False,0.22146623424392098,0.22146620388982394
tinybert-l2,trec-covid,0.6241726618705036,6.475646724716709,6.475647754267066,False,0.05535986472534228,0.0553598708298456
tinybert-l2,nfcorpus,1.0,19.99999309523735,999.9999785199127,True,0.5518828895936665,0.5010547935962677
tinybert-l2,fiqa,1.0,15.871785490214364,15.871785589022576,False,0.4845013310196538,0.4845013310196538
tinybert-l2,scifact,1.0,6.265832162784695,6.265829589387727,False,0.42350863810353634,0.4235085983004346
tinybert-l2,arguana,1.0,19.9999929291421,999.9999784856842,True,0.5244156818802959,0.5004936754703522
tinybert-l2,scidocs,0.9487034949267192,19.999995608922546,999.9999776644615,True,0.4673438863461289,0.4485298796665037
tinybert-l2,webis-touche2020,0.7795275590551181,11.081018535208347,11.081017457656968,False,0.2443748899975663,0.2443748899975663
tinybert-l2,quora,1.0,2.10534855898917,2.1053498471458187,False,0.11900421134043188,0.11900422241719488
tinybert-l2,dbpedia-entity,0.34698322805489,6.746783442562571,6.746783919426322,False,0.19598432142629107,0.19598430404214395
bge-reranker,trec-covid,0.6241726618705036,4.386437874427812,4.386437927254441,False,0.037300807860078715,0.037300807860078715
bge-reranker,nfcorpus,1.0,19.999993151130507,999.9999785726675,True,0.5246015252769914,0.5004972219467163
bge-reranker,fiqa,1.0,19.99999520834948,999.9999770367549,True,0.49911988703977495,0.4999825358390808
bge-reranker,scifact,1.0,11.683575660149751,11.683575764919029,False,0.4830125096260301,0.4830125096260301
bge-reranker,arguana,1.0,8.696155581352686,8.69615523208921,False,0.48981648570317265,0.48981648570317265
bge-reranker,scidocs,0.9487034949267192,19.99999322022611,999.9999786110205,True,0.4881962345579163,0.44894684395902995
bge-reranker,webis-touche2020,0.7795275590551181,6.780392364206288,6.78039382151909,False,0.23582531708591387,0.23582532444277648
bge-reranker,quora,1.0,1.095480621645755,1.0954797169832682,False,0.0614789240003938,0.061478916223340195
bge-reranker,dbpedia-entity,0.34698322805489,2.9622343874480865,2.9622344136277925,False,0.10694710886464144,0.10694710886464144
electra-base,trec-covid,0.6241726618705036,4.770323497177745,4.770323590325675,False,0.08449390806660692,0.08449388259402354
electra-base,nfcorpus,1.0,19.999993323785407,999.9999786264298,True,0.5612917435954946,0.5012428164482117
electra-base,fiqa,1.0,19.999993586232193,36.13128494937315,True,0.49329813006062984,0.49631852400365956
electra-base,scifact,1.0,5.377145892220841,5.377143478590491,False,0.40354662423565885,0.4035466123347315
electra-base,arguana,1.0,1.3124367443001308,1.3124354784538408,False,0.16051019668171473,0.16051004310690523
electra-base,scidocs,0.9487034949267192,19.999995547368858,999.9999775848303,True,0.46598822637770865,0.4485029681693876
electra-base,webis-touche2020,0.7795275590551181,6.095302117099755,6.095301965363325,False,0.24919549577266165,0.24919549577266165
electra-base,quora,1.0,19.9999949109852,999.9999760141304,True,0.5023947944850056,0.5000490844249725
electra-base,dbpedia-entity,0.34698322805489,6.840410896772551,6.840410623534309,False,0.16383115670385506,0.16383115670385506
