model,dataset,ece_judged_only,ece_unjudged_as_neg,delta_ece,brier_judged_only,brier_unjudged_as_neg
minilm-l6,trec-covid,0.2323,0.3095,0.0772,0.2528,0.3119
minilm-l6,nfcorpus,0.7096,0.0449,-0.6647,0.6485,0.0504
minilm-l6,fiqa,0.3161,0.1156,-0.2006,0.2359,0.0804
minilm-l6,scifact,0.2858,0.0406,-0.2452,0.2226,0.0269
minilm-l6,arguana,0.5461,0.1017,-0.4444,0.4158,0.0588
minilm-l6,scidocs,0.5273,0.1176,-0.4097,0.4573,0.0905
minilm-l6,webis-touche2020,0.2234,0.4663,0.2429,0.2235,0.4385
minilm-l6,quora,0.0994,0.1101,0.0107,0.0543,0.0781
minilm-l6,dbpedia-entity,0.2948,0.2837,-0.0111,0.2934,0.2429
minilm-l12,trec-covid,0.248,0.3451,0.0971,0.2616,0.3426
minilm-l12,nfcorpus,0.593,0.0635,-0.5294,0.5303,0.0672
minilm-l12,fiqa,0.2472,0.1498,-0.0974,0.1773,0.1057
minilm-l12,scifact,0.2409,0.0605,-0.1805,0.1893,0.0397
minilm-l12,arguana,0.269,0.5303,0.2613,0.1851,0.4334
minilm-l12,scidocs,0.4858,0.1392,-0.3467,0.4216,0.1091
minilm-l12,webis-touche2020,0.1508,0.5531,0.4023,0.1729,0.5218
minilm-l12,quora,0.0761,0.1277,0.0516,0.0412,0.0932
minilm-l12,dbpedia-entity,0.3136,0.3026,-0.0109,0.3079,0.261
tinybert-l2,trec-covid,0.2682,0.3558,0.0876,0.2815,0.3605
tinybert-l2,nfcorpus,0.7644,0.0493,-0.7151,0.7234,0.0527
tinybert-l2,fiqa,0.4114,0.1098,-0.3017,0.3523,0.0909
tinybert-l2,scifact,0.3319,0.0343,-0.2976,0.2815,0.0266
tinybert-l2,arguana,0.6295,0.0542,-0.5754,0.5545,0.0458
tinybert-l2,scidocs,0.5461,0.1222,-0.4238,0.5031,0.1038
tinybert-l2,webis-touche2020,0.3382,0.3849,0.0467,0.3298,0.3706
tinybert-l2,quora,0.0849,0.1588,0.0739,0.0675,0.1368
tinybert-l2,dbpedia-entity,0.2818,0.2432,-0.0386,0.2953,0.2217
bge-reranker,trec-covid,0.2264,0.2907,0.0643,0.2564,0.3049
bge-reranker,nfcorpus,0.6624,0.0349,-0.6275,0.5683,0.0494
bge-reranker,fiqa,0.5097,0.0606,-0.449,0.4119,0.0385
bge-reranker,scifact,0.4448,0.0139,-0.4309,0.3622,0.0109
bge-reranker,arguana,0.4456,0.3618,-0.0838,0.335,0.2632
bge-reranker,scidocs,0.7521,0.0302,-0.7218,0.6873,0.0284
bge-reranker,webis-touche2020,0.2916,0.3722,0.0806,0.2855,0.3493
bge-reranker,quora,0.0591,0.2575,0.1984,0.0302,0.1918
bge-reranker,dbpedia-entity,0.1594,0.1475,-0.0119,0.2041,0.1345
electra-base,trec-covid,0.2785,0.3734,0.0949,0.2855,0.3706
electra-base,nfcorpus,0.8523,0.0536,-0.7987,0.8236,0.056
electra-base,fiqa,0.3985,0.0649,-0.3336,0.3378,0.0544
electra-base,scifact,0.2369,0.0525,-0.1844,0.1911,0.0394
electra-base,arguana,0.128,0.6646,0.5366,0.0806,0.6008
electra-base,scidocs,0.5001,0.1271,-0.373,0.4617,0.1142
electra-base,webis-touche2020,0.2812,0.3819,0.1008,0.2851,0.3735
electra-base,quora,0.4941,0.0215,-0.4726,0.3704,0.0227
electra-base,dbpedia-entity,0.3309,0.3734,0.0425,0.3489,0.3528
