model,dataset,method,tau,precision,coverage,n_accepted,n_test,gap,prevalence
minilm-l6,dbpedia-entity,raw,0.5,0.49602488765986863,0.6301459377042039,2893,4591,0.00397511234013137,0.34698322805489
minilm-l6,dbpedia-entity,raw,0.6,0.5104920405209841,0.6020474842082335,2764,4591,0.08950795947901591,0.34698322805489
minilm-l6,dbpedia-entity,raw,0.7,0.5258358662613982,0.5732955783053801,2632,4591,0.17416413373860173,0.34698322805489
minilm-l6,dbpedia-entity,raw,0.8,0.5417341977309562,0.5375735133957743,2468,4591,0.25826580226904383,0.34698322805489
minilm-l6,dbpedia-entity,raw,0.9,0.5731818181818182,0.4791984317142235,2200,4591,0.3268181818181818,0.34698322805489
minilm-l6,dbpedia-entity,temp,0.5,0.49602488765986863,0.6301459377042039,2893,4591,0.00397511234013137,0.34698322805489
minilm-l6,dbpedia-entity,temp,0.6,0.5824742268041238,0.46482247876279675,2134,4591,0.017525773195876226,0.34698322805489
minilm-l6,dbpedia-entity,temp,0.7,0.7082683307332294,0.2792419952080157,1282,4591,-0.008268330733229412,0.34698322805489
minilm-l6,dbpedia-entity,temp,0.8,0.8942857142857142,0.07623611413635374,350,4591,-0.0942857142857142,0.34698322805489
minilm-l6,dbpedia-entity,temp,0.9,,0.0,0,4591,,0.34698322805489
minilm-l6,dbpedia-entity,platt,0.5,0.6852756454989533,0.3121324330211283,1433,4591,-0.18527564549895326,0.34698322805489
minilm-l6,dbpedia-entity,platt,0.6,0.7514792899408284,0.22086691352646481,1014,4591,-0.15147928994082838,0.34698322805489
minilm-l6,dbpedia-entity,platt,0.7,0.8235294117647058,0.13330429100413854,612,4591,-0.12352941176470589,0.34698322805489
minilm-l6,dbpedia-entity,platt,0.8,0.9243027888446215,0.05467218470921368,251,4591,-0.12430278884462143,0.34698322805489
minilm-l6,dbpedia-entity,platt,0.9,,0.0015247222827270747,7,4591,,0.34698322805489
minilm-l6,dbpedia-entity,iso,0.5,0.6788866259334692,0.32084513177956875,1473,4591,-0.17888662593346916,0.34698322805489
minilm-l6,dbpedia-entity,iso,0.6,0.7412082957619477,0.24155957307776083,1109,4591,-0.1412082957619477,0.34698322805489
minilm-l6,dbpedia-entity,iso,0.7,0.8520833333333333,0.10455238510128512,480,4591,-0.15208333333333335,0.34698322805489
